txn_id,date,account_code,account_name,debit,credit,description,reference,client_vendor,category,period,entered_by
GL-0001,2026-01-02,3100,Retained Earnings,,125000.00,Opening retained earnings balance,OPEN-2026,,Equity,2026-01,System
GL-0002,2026-01-02,1000,Cash - Operating,210000.00,,Opening cash balance,OPEN-2026,,Asset,2026-01,System
GL-0003,2026-01-02,1100,Accounts Receivable,87500.00,,Opening AR balance,OPEN-2026,,Asset,2026-01,System
GL-0004,2026-01-02,1500,Office Equipment,48000.00,,Opening fixed assets,OPEN-2026,,Asset,2026-01,System
GL-0005,2026-01-02,1510,Furniture and Fixtures,22000.00,,Opening furniture,OPEN-2026,,Asset,2026-01,System
GL-0006,2026-01-02,1590,Accumulated Depreciation,,18500.00,Opening accumulated depreciation,OPEN-2026,,Asset,2026-01,System
GL-0007,2026-01-02,1600,Security Deposit,15000.00,,Office lease security deposit,OPEN-2026,,Asset,2026-01,System
GL-0008,2026-01-02,2000,Accounts Payable,,28400.00,Opening AP balance,OPEN-2026,,Liability,2026-01,System
GL-0009,2026-01-02,2300,Notes Payable - Long Term,,75000.00,Equipment financing loan,OPEN-2026,,Liability,2026-01,System
GL-0010,2026-01-02,3000,Common Stock,,100000.00,Issued share capital,OPEN-2026,,Equity,2026-01,System
GL-0011,2026-01-05,4020,Accounting Services Revenue,,12500.00,January retainer - Apex Manufacturing,INV-2026-001,Apex Manufacturing,Revenue,2026-01,Sarah K
GL-0012,2026-01-05,1100,Accounts Receivable,12500.00,,Invoice to Apex Manufacturing,INV-2026-001,Apex Manufacturing,Asset,2026-01,Sarah K
GL-0013,2026-01-06,4000,Audit Services Revenue,,22000.00,Q4 2025 audit - Crest Healthcare,INV-2026-002,Crest Healthcare,Revenue,2026-01,Mike R
GL-0014,2026-01-06,1100,Accounts Receivable,22000.00,,Invoice to Crest Healthcare,INV-2026-002,Crest Healthcare,Asset,2026-01,Mike R
GL-0015,2026-01-08,4030,Consulting Revenue,,31000.00,January advisory - Frontier Tech,INV-2026-003,Frontier Tech,Revenue,2026-01,Sarah K
GL-0016,2026-01-08,1100,Accounts Receivable,31000.00,,Invoice to Frontier Tech,INV-2026-003,Frontier Tech,Asset,2026-01,Sarah K
GL-0017,2026-01-10,4010,Tax Preparation Revenue,,8200.00,2025 tax prep - BlueStar Retail,INV-2026-004,BlueStar Retail,Revenue,2026-01,James L
GL-0018,2026-01-10,1100,Accounts Receivable,8200.00,,Invoice to BlueStar Retail,INV-2026-004,BlueStar Retail,Asset,2026-01,James L
GL-0019,2026-01-12,4040,Bookkeeping Revenue,,9400.00,January bookkeeping - Titan Wholesale,INV-2026-005,Titan Wholesale,Revenue,2026-01,Amy C
GL-0020,2026-01-12,1100,Accounts Receivable,9400.00,,Invoice to Titan Wholesale,INV-2026-005,Titan Wholesale,Asset,2026-01,Amy C
GL-0021,2026-01-15,5000,Salaries - Professional Staff,68000.00,,Semi-monthly payroll - professional staff,PR-2026-01A,,Expense,2026-01,Payroll
GL-0022,2026-01-15,5010,Salaries - Administrative,18000.00,,Semi-monthly payroll - admin staff,PR-2026-01A,,Expense,2026-01,Payroll
GL-0023,2026-01-15,5020,Payroll Taxes - Employer,6579.00,,Employer FICA Jan 1-15,PR-2026-01A,,Expense,2026-01,Payroll
GL-0024,2026-01-15,2020,Accrued Payroll Taxes,,8653.00,Federal taxes withheld Jan 1-15,PR-2026-01A,,Liability,2026-01,Payroll
GL-0025,2026-01-15,1010,Cash - Payroll,,83926.00,Net payroll disbursement Jan 1-15,PR-2026-01A,,Asset,2026-01,Payroll
GL-0026,2026-01-15,5100,Rent Expense,5500.00,,January office rent - WeWork,RENT-01-2026,WeWork,Expense,2026-01,Amy C
GL-0027,2026-01-15,2000,Accounts Payable,,5500.00,WeWork January invoice,RENT-01-2026,WeWork,Liability,2026-01,Amy C
GL-0028,2026-01-15,1300,Prepaid Insurance,18000.00,,Annual E&O insurance premium paid,INS-2026,Travelers Insurance,Asset,2026-01,Amy C
GL-0029,2026-01-15,1000,Cash - Operating,,18000.00,E&O insurance payment,INS-2026,Travelers Insurance,Asset,2026-01,Amy C
GL-0030,2026-01-18,1000,Cash - Operating,12500.00,,Payment received - Apex Manufacturing,REC-001,Apex Manufacturing,Asset,2026-01,Sarah K
GL-0031,2026-01-18,1100,Accounts Receivable,,12500.00,AR cleared - Apex Manufacturing,REC-001,Apex Manufacturing,Asset,2026-01,Sarah K
GL-0032,2026-01-20,5130,Software Subscriptions,3800.00,,AWS January cloud services,SW-001,Amazon Web Services,Expense,2026-01,Amy C
GL-0033,2026-01-20,2000,Accounts Payable,,3800.00,AWS January invoice,SW-001,Amazon Web Services,Liability,2026-01,Amy C
GL-0034,2026-01-22,4030,Consulting Revenue,,42000.00,January strategy - Westside Developers,INV-2026-006,Westside Developers,Revenue,2026-01,Mike R
GL-0035,2026-01-22,1100,Accounts Receivable,42000.00,,Invoice to Westside Developers,INV-2026-006,Westside Developers,Asset,2026-01,Mike R
GL-0036,2026-01-25,1000,Cash - Operating,22000.00,,Payment received - Crest Healthcare,REC-002,Crest Healthcare,Asset,2026-01,Mike R
GL-0037,2026-01-25,1100,Accounts Receivable,,22000.00,AR cleared - Crest Healthcare,REC-002,Crest Healthcare,Asset,2026-01,Mike R
GL-0038,2026-01-28,2000,Accounts Payable,5500.00,,Paid WeWork January rent,PAY-001,WeWork,Liability,2026-01,Amy C
GL-0039,2026-01-28,1000,Cash - Operating,,5500.00,WeWork rent payment,PAY-001,WeWork,Asset,2026-01,Amy C
GL-0040,2026-01-31,5200,Depreciation Expense,1458.00,,Monthly depreciation - equipment and furniture,DEP-01-2026,,Expense,2026-01,System
GL-0041,2026-01-31,1590,Accumulated Depreciation,,1458.00,Monthly depreciation entry,DEP-01-2026,,Asset,2026-01,System
GL-0042,2026-01-31,5150,Professional Liability Insurance,1500.00,,Monthly E&O insurance allocation,ADJ-01-2026,,Expense,2026-01,System
GL-0043,2026-01-31,1300,Prepaid Insurance,,1500.00,Monthly prepaid insurance amortization,ADJ-01-2026,,Asset,2026-01,System
